R200_(50)
25, 1000, 51
0, 35.00, 35.00, 0.00
1, 41.00, 49.00, 10.00
2, 35.00, 17.00, 7.00
3, 55.00, 45.00, 13.00
4, 55.00, 20.00, 19.00
5, 15.00, 30.00, 26.00
6, 25.00, 30.00, 3.00
7, 20.00, 50.00, 5.00
8, 10.00, 43.00, 9.00
9, 55.00, 60.00, 16.00
10, 30.00, 60.00, 16.00
11, 20.00, 65.00, 12.00
12, 50.00, 35.00, 19.00
13, 30.00, 25.00, 23.00
14, 15.00, 10.00, 20.00
15, 30.00, 5.00, 8.00
16, 10.00, 20.00, 19.00
17, 5.00, 30.00, 2.00
18, 20.00, 40.00, 12.00
19, 15.00, 60.00, 17.00
20, 45.00, 65.00, 9.00
21, 45.00, 20.00, 11.00
22, 45.00, 10.00, 18.00
23, 55.00, 5.00, 29.00
24, 65.00, 35.00, 3.00
25, 65.00, 20.00, 6.00
26, 45.00, 30.00, 17.00
27, 35.00, 40.00, 16.00
28, 41.00, 37.00, 16.00
29, 64.00, 42.00, 9.00
30, 40.00, 60.00, 21.00
31, 31.00, 52.00, 27.00
32, 35.00, 69.00, 23.00
33, 53.00, 52.00, 11.00
34, 65.00, 55.00, 14.00
35, 63.00, 65.00, 8.00
36, 2.00, 60.00, 5.00
37, 20.00, 20.00, 8.00
38, 5.00, 5.00, 16.00
39, 60.00, 12.00, 31.00
40, 40.00, 25.00, 9.00
41, 42.00, 7.00, 5.00
42, 24.00, 12.00, 5.00
43, 23.00, 3.00, 7.00
44, 11.00, 14.00, 18.00
45, 6.00, 38.00, 16.00
46, 2.00, 48.00, 1.00
47, 8.00, 56.00, 27.00
48, 13.00, 52.00, 36.00
49, 6.00, 68.00, 30.00
50, 47.00, 47.00, 13.00
