RC100_(50)
51
0, 40.00, 50.00
1, 25.00, 85.00
2, 22.00, 75.00
3, 22.00, 85.00
4, 20.00, 80.00
5, 20.00, 85.00
6, 18.00, 75.00
7, 15.00, 75.00
8, 15.00, 80.00
9, 10.00, 35.00
10, 10.00, 40.00
11, 8.00, 40.00
12, 8.00, 45.00
13, 5.00, 35.00
14, 5.00, 45.00
15, 2.00, 40.00
16, 0.00, 40.00
17, 0.00, 45.00
18, 44.00, 5.00
19, 42.00, 10.00
20, 42.00, 15.00
21, 40.00, 5.00
22, 40.00, 15.00
23, 38.00, 5.00
24, 38.00, 15.00
25, 35.00, 5.00
26, 95.00, 30.00
27, 95.00, 35.00
28, 92.00, 30.00
29, 90.00, 35.00
30, 88.00, 30.00
31, 88.00, 35.00
32, 87.00, 30.00
33, 85.00, 25.00
34, 85.00, 35.00
35, 67.00, 85.00
36, 65.00, 85.00
37, 65.00, 82.00
38, 62.00, 80.00
39, 60.00, 80.00
40, 60.00, 85.00
41, 58.00, 75.00
42, 55.00, 80.00
43, 55.00, 85.00
44, 55.00, 82.00
45, 20.00, 82.00
46, 18.00, 80.00
47, 2.00, 45.00
48, 42.00, 5.00
49, 42.00, 12.00
50, 72.00, 35.00
