C101_(25)
25, 200, 26
0, 40.00, 50.00, 0.00
1, 45.00, 68.00, 10.00
2, 45.00, 70.00, 30.00
3, 42.00, 66.00, 10.00
4, 42.00, 68.00, 10.00
5, 42.00, 65.00, 10.00
6, 40.00, 69.00, 20.00
7, 40.00, 66.00, 20.00
8, 38.00, 68.00, 20.00
9, 38.00, 70.00, 10.00
10, 35.00, 66.00, 10.00
11, 35.00, 69.00, 10.00
12, 25.00, 85.00, 20.00
13, 22.00, 75.00, 30.00
14, 22.00, 85.00, 10.00
15, 20.00, 80.00, 40.00
16, 20.00, 85.00, 40.00
17, 18.00, 75.00, 20.00
18, 15.00, 75.00, 20.00
19, 15.00, 80.00, 10.00
20, 30.00, 50.00, 10.00
21, 30.00, 52.00, 20.00
22, 28.00, 52.00, 20.00
23, 28.00, 55.00, 10.00
24, 25.00, 50.00, 10.00
25, 25.00, 52.00, 40.00
