0	29	20	21	16	31	100	12	4	31	14	9	15	22	27	43	43	11	24	39
29	0	15	29	28	40	72	21	29	28	29	17	27	27	43	34	29	22	25	25
20	15	0	15	14	25	34	12	7	25	17	17	19	15	14	21	32	16	13	22
21	29	15	0	18	19	34	27	23	22	22	29	22	25	29	34	28	22	31	14
16	28	14	18	0	24	32	27	20	28	20	16	26	21	20	32	28	22	30	24
31	40	25	19	24	0	32	30	31	40	22	27	33	34	32	22	21	28	24	26
100	72	34	34	32	32	0	40	53	34	35	24	22	25	22	26	27	36	43	22
12	21	12	27	27	30	40	0	20	21	12	14	22	28	29	30	20	30	29	22
4	29	7	23	20	31	53	20	0	30	19	13	16	14	12	30	25	28	26	18
31	28	25	22	28	40	34	21	30	0	22	12	20	30	21	26	25	28	29	30
14	29	17	22	20	22	35	12	19	22	0	10	17	21	29	14	22	24	26	20
9	17	17	29	16	27	24	14	13	12	10	0	15	18	20	15	16	22	24	18
15	27	19	22	26	33	22	22	16	20	17	15	0	25	20	15	17	18	29	22
22	27	15	25	21	34	25	28	14	30	21	18	25	0	22	31	22	26	20	32
27	43	14	29	20	32	22	29	12	21	29	20	20	22	0	30	22	18	25	28
43	34	21	34	32	22	26	30	30	26	14	15	15	31	30	0	25	21	18	19
43	29	32	28	22	21	27	20	25	25	22	16	17	22	22	25	0	30	30	30
11	22	16	22	30	28	36	30	28	28	24	22	18	26	18	21	30	0	14	27
24	25	13	14	24	26	22	29	26	30	26	24	29	20	25	18	30	14	0	18
39	25	22	14	24	26	22	22	18	30	20	18	22	32	28	19	30	27	18	0
